source_id,title,date,region,source_type,relevance,url,status
SRC_YALE_VM,"The Beinecke Cipher (Voynich) Manuscript",15th century context,Central Europe?,institutional manuscript description,"Canonical section structure: botanical, astronomical/astrological, balneological, cosmological, pharmaceutical, recipes",https://beinecke.library.yale.edu/beinecke/collections/beinecke-cipher-voynich-manuscript,canonical
SRC_WELLCOME_ALMANAC,"The enigma of the medieval folding almanac",1415-1420,England,institutional object essay,"Medical almanac with astrological calendar, lunar/solar tables, Zodiac Man, planetary hours and treatment timing",https://wellcomecollection.org/stories/the-enigma-of-the-medieval-folding-almanac,historically_available
SRC_WELLCOME_MS97,"MS.97 Astrology: Before 1500",1484 onward,Italy / Latin tradition,primary manuscript catalogue,"Medical astrology, cupping, bloodletting, lucky days, eclipses, dominical letters and Golden Number",https://wellcomecollection.org/works/ad2gt65q,historically_available
SRC_BL_EGERTON2724,"Egerton MS 2724 folding calendar-almanac",15th century,England,primary manuscript catalogue,"Calendar pages, dominical letters, prognostications, Zodiac Man, sun-moon-planets diagram",https://searcharchives.bl.uk/catalog/032-001984781,historically_available
SRC_BL_ROYAL17A16,"Royal MS 17 A XVI almanac",1420,England,primary manuscript catalogue,"Calendar, works of months, zodiac signs, day length, Golden Numbers, dominical letters and conjunction tables",https://searcharchives.bl.uk/catalog/040-002107247,historically_available
SRC_BL_ROYAL12D4,"Royal MS 12 D IV computus manuscript",medieval,England / Norman connections,primary manuscript catalogue,"Calendar, computus tables and works on reckoning solar and lunar time",https://searcharchives.bl.uk/catalog/040-002106741,historically_available
SRC_MET_JUNE_CALENDAR,"Manuscript Leaf with June Calendar",13th century,England,primary manuscript object,"Month, saints' feasts, labour of month and zodiac sign in one calendar page",https://www.metmuseum.org/art/collection/search/466372,historically_available
SRC_WELLCOME_MEDICAL_RECEIPTS,"Collection of medical receipts and astrological medicine MS.404",late 15th century,England,primary manuscript catalogue,"Monthly diet, bloodletting, urine wheel, zodiac timing, remedies",https://wellcomecollection.org/works/svx4y7ad,historically_available
SRC_WELLCOME_MEDICAL_COMPENDIUM,"Book of learned medical treatises MS.544",early 14th century,Latin Europe,primary manuscript catalogue,"Health composed from opposite elements; baths; herb synonyms; Zodiac Man and Vein Man",https://wellcomecollection.org/works/ka9yjtq7,historically_available
SRC_WELLCOME_TACUINUM,"Medical compendium MS.MSL.139",14th century,Latin Europe,primary manuscript catalogue,"Tacuinum sanitatis and six necessary things; materia medica and simples",https://wellcomecollection.org/works/ypdjvvqn,historically_available
SRC_BL_HARLEY3736,"Harley MS 3736 Giovanni Cadamosto Herbal",late 15th or early 16th century,Southern Germany,primary manuscript catalogue,"Herbal incorporating Tacuinum sanitatis material and medical uses of plants",https://searcharchives.bl.uk/catalog/040-001716324,near_period
SRC_WELLCOME_HERBAL336,"Herbals MS.336",late 15th century,Italy,primary manuscript catalogue,"204 coloured medicinal plant illustrations with virtues, qualities and uses",https://wellcomecollection.org/works/yn52acrc,historically_available
SRC_WELLCOME_WATERS418,"Medicinal waters and remedies MS.418",mid 15th century,France,primary manuscript catalogue,"Recipes for medicinal waters from plants, wounds and other remedies",https://wellcomecollection.org/works/f6nzyzh4,historically_available
SRC_WELLCOME_RECEIPT646,"Italian receipt-book MS.646",late 15th century,Italy,primary manuscript catalogue,"Poisons, antidotes, herbs, prescriptions, baths, charms and incantations",https://wellcomecollection.org/works/hcncxqzs,historically_available
SRC_WELLCOME_BALNEIS,"Nomina et virtutes balneorum / De balneis Puteolorum",13th-century manuscript witness,Italy,facsimile catalogue,"Illustrated account of baths and their virtues",https://wellcomecollection.org/works/stbvs45j,historically_available
SRC_WELLCOME_BATHHOUSE,"A bath house, 15th-century manuscript",15th century,Europe,manuscript image record,"Historical visual comparison for communal and therapeutic bathing",https://wellcomecollection.org/works/ykf3qsfn,historically_available
SRC_WARBURG_ALCHEMICAL_FEMININE,"Distilling the Alchemical Feminine",late 14th-early 17th century,European alchemical tradition,scholarly institutional lecture,"Sulfur/Mercury, hot-dry/cool-moist, union of opposites, pregnancy and vessel allegories",https://warburg.sas.ac.uk/news-events/events/distilling-alchemical-feminine-2025,context_only
SRC_WARBURG_AURORA,"Aurora consurgens, Zürich Zentralbibliothek 172",15th century,Germany,primary manuscript image record,"Alchemical allegory and hermaphrodite imagery",https://iconographic.warburg.sas.ac.uk/object-wpc-wid-cjpx,historically_available
SRC_MET_CINNABAR,"The Story of Cinnabar and Vermilion",historical overview,Europe / Mediterranean,institutional conservation essay,"Mercury-sulfur transformations and pigment production; context for practical alchemical processes",https://www.metmuseum.org/pt/perspectives/cinnabar-vermilion,context_only
SRC_VATICAN_CALENDAR_REFORM,"Gregorian calendar reform under Gregory XIII",1582,Rome,institutional historical note,"Confirms Gregorian reform occurred after the manuscript's probable period; Julian system preceded it",https://www.vatican.va/jubilee_2000/pilgrim/documents/ju_gp_01062000-6_it.html,chronology_anchor
SRC_MET_MONTH_LABOURS,"Here I Sette My Thynge to Sprynge",early 15th century,France,institutional manuscript essay,"Books of Hours commonly linked calendar months, zodiac signs and seasonal labours",https://www.metmuseum.org/de/perspectives/here-i-sette-my-thynge-to-sprynge,historically_available
