source_id,title,date,region,source_type,test_relevance,url,admissibility
SRC_YALE_VM,"Voynich Manuscript, Beinecke MS 408",1404–1438 radiocarbon range for parchment; manuscript dating context,Central Europe?,primary manuscript,Voynich source images and panel geometry,https://collections.library.yale.edu/catalog/2002046,canonical_source
SRC_PTOLEMY_BNF,"Ptolemy, Almagest, BnF Latin 14738 ff.118v–119r",c.1170–1200,France,primary manuscript witness,Catalogue of 1022 stars with ecliptic longitude/latitude; supports historically available star-coordinate model,https://expositions.bnf.fr/monde-en-spheres/grand/mes_008.php,historically_available
DATA_PTOLEMY_V61,"CDS VizieR V/61, machine-readable Almagest catalogue",based on Manitius 1913 edition of ancient catalogue,modern dataset of historical source,research dataset,Machine-readable zodiacal and non-zodiacal Ptolemaic stars; only for preregistered topology test,https://cdsarc.cds.unistra.fr/viz-bin/ReadMe/V/61?format=html&tex=true,allowed_after_atlas_freeze
DATA_PTOLEMY_2012,Verbunt & van Gent machine-readable Ptolemy catalogue,2012 edition; underlying catalogue c.137 CE,modern critical dataset,research dataset,"1028 records with modern identifications; sensitivity analysis only, not primary selection after held-out",https://cdsarc.cds.unistra.fr/viz-bin/ReadMe/J/A%2BA/544/A31?format=html&tex=true,allowed_sensitivity_only
SRC_ASTROLABE_1400,Unsigned French astrolabe,c.1400,France,primary object,Each zodiac sign has a 30-degree scale; direct support for M_DEGREE,https://www.mhs.ox.ac.uk/epact/catalogue.php?ENumber=99166&Level=Detail,historically_available
SRC_ASTROLABE_14C_EN,Unsigned English astrolabe,later 14th century,England,primary object,Each sign 0–30; calendar and zodiac scales coexist,https://www.mhs.ox.ac.uk/epact/catalogue.php?ENumber=61916&Level=Detail,historically_available
SRC_QUADRANT_1300,Unsigned French quadrant,c.1300,France,primary object,"Lunar volvelle 1–29.5; month scales 30/31; zodiac scale to 30—separates lunar days, calendar days, zodiac degrees",https://www.mhs.ox.ac.uk/epact/catalogue.php?ENumber=25257&Level=Detail&Sort=Maker,historically_available
SRC_EQUATORIUM_15C,Unsigned French equatorium,late 15th century,France,primary object,12 × 30-degree zodiac scales coexist with lunar circle 1–28; separates zodiac degrees from mansions,https://www.mhs.ox.ac.uk/epact/catalogue.php?ENumber=34746&Level=Detail,historically_available_near_period
SRC_MANSIONS_SAL39,"Three treatises relating to magic, SAL MS 39/1",15th century,England?,primary manuscript,"Explicit twenty-eight mansions of the Moon; tests M_LUNAR_28, not 29–30 lunation days",https://collections.sal.org.uk/mss.0039.01,historically_available
SRC_PICATRIX_LOC,Fragment of the Picatrix,14th century fragment; Latin translation c.1250,Central Europe / Latin tradition,primary manuscript fragment,Context for astral magic and medieval transmission; not a numerical match by itself,https://www.loc.gov/item/2021667701/,historically_available
SRC_HARLEY2332,"Illustrated almanac, Harley MS 2332",c.1412,England,primary manuscript,"Calendar, eclipse tables, zodiacal chart and lunar-zodiacal correspondences in one practical almanac",https://searcharchives.bl.uk/catalog/040-002032703,historically_available
SRC_DECANS_FENDULUS,"Liber astrologiae of Fendulus, BnF Latin 7330",second quarter 13th century,Sicily,primary manuscript described in scholarship,Three decans per sign; direct 3 × 10 competitor,https://ddd.uab.cat/record/2355,historically_available
